City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
272,Khani,41.9563,42.9566,4.76,overcast clouds,92,100,2.08,GE,1678046170
273,Anse-Bertrand,16.4721,-61.5078,28.9,clear sky,100,8,7.34,GP,1678046170
274,Lorengau,-2.0226,147.2712,26.53,broken clouds,77,73,1.36,PG,1678046170
275,Yulara,-25.2406,130.9889,22.24,few clouds,45,14,5.0,AU,1678046170
276,Wanning,18.8003,110.3967,17.18,clear sky,81,0,1.98,CN,1678046170
277,Stralsund,54.3091,13.0818,0.03,clear sky,66,10,2.63,DE,1678046163
278,Nouakchott,18.0858,-15.9785,25.96,broken clouds,52,51,6.46,MR,1678046170
279,Tura,25.5198,90.2201,19.97,clear sky,46,0,1.28,IN,1678046171
280,Saint-Georges,12.0564,-61.7485,29.82,few clouds,66,20,10.29,GD,1678046171
281,Kibungo,-2.1597,30.5427,23.51,broken clouds,86,69,0.22,RW,1678046171
282,Sorong,-0.8833,131.25,26.78,moderate rain,73,100,3.74,ID,1678046171
283,Calvinia,-31.4707,19.776,14.18,clear sky,72,0,2.23,ZA,1678046171
284,Puerto Narino,-3.7703,-70.3831,23.26,light rain,99,100,1.14,CO,1678046171
285,Morwell,-38.2333,146.4,14.67,scattered clouds,93,44,3.46,AU,1678046171
286,Adrar,20.5022,-10.0711,25.05,scattered clouds,13,29,4.05,MR,1678046171
287,Krasnorechenskiy,44.6265,135.3532,-4.04,clear sky,83,3,1.8,RU,1678046172
288,Beinamar,8.6698,15.3813,32.17,broken clouds,10,77,1.58,TD,1678046172
289,Sorland,67.667,12.6934,-3.08,light snow,68,100,9.88,NO,1678046172
290,Constitucion,-35.3333,-72.4167,20.18,few clouds,60,16,3.78,CL,1678046172
291,Port-Gentil,-0.7193,8.7815,27.98,broken clouds,83,75,6.17,GA,1678046172
292,Hasaki,35.7333,140.8333,7.34,light rain,79,100,4.16,JP,1678046172
293,Litovko,49.2361,135.1742,-3.62,few clouds,91,18,3.79,RU,1678046172
294,Tres Arroyos,-38.3739,-60.2798,35.78,clear sky,19,0,4.45,AR,1678046172
295,Geraldton,-28.7667,114.6,17.23,clear sky,77,0,3.6,AU,1678046172
296,Faanui,-16.4833,-151.75,28.36,light rain,73,83,7.67,PF,1678046173
297,East London,-33.0153,27.9116,24.11,light rain,92,50,2.67,ZA,1678046167
298,Vagur,61.4732,-6.8119,1.19,overcast clouds,73,100,15.65,FO,1678046173
299,Viedma,-40.8135,-62.9967,36.41,clear sky,12,0,7.22,AR,1678045979
300,Sitka,57.0531,-135.33,-2.1,clear sky,54,0,3.45,US,1678045997
301,Antofagasta,-23.65,-70.4,23.6,few clouds,75,13,2.85,CL,1678046173
302,Prachuap Khiri Khan,12.2167,99.75,18.3,clear sky,72,0,1.2,TH,1678046173
303,Haimen,23.1935,116.6142,10.94,clear sky,57,0,5.89,CN,1678045887
304,Pitimbu,-7.4706,-34.8086,30.33,overcast clouds,70,100,4.64,BR,1678046173
305,Walvis Bay,-22.9575,14.5053,20.53,clear sky,60,0,6.17,NA,1678045977
306,Moose Jaw,50.4001,-105.5344,-9.86,overcast clouds,73,97,5.66,CA,1678046173
307,Ngama,11.7833,17.1667,31.63,clear sky,9,2,4.92,TD,1678046174
308,Abbeville,50.1,1.8333,5.14,overcast clouds,83,100,2.91,FR,1678046174
309,Dzilam Gonzalez,21.2833,-88.9333,32.99,scattered clouds,38,50,4.24,MX,1678046174
310,Varhaug,58.6147,5.6457,0.82,overcast clouds,61,86,6.91,NO,1678046175
311,San Quintin,30.4833,-115.95,13.93,overcast clouds,60,100,9.1,MX,1678046176
312,Iquitos,-3.7481,-73.2472,28.02,scattered clouds,89,40,2.57,PE,1678046177
313,Olafsvik,64.8945,-23.7142,-0.29,clear sky,64,4,9.87,IS,1678046178
314,Kruisfontein,-34.0033,24.7314,18.82,clear sky,83,4,5.29,ZA,1678046178
315,Hervey Bay,-25.2986,152.8535,21.89,few clouds,83,17,1.92,AU,1678046178
316,Kindu,-2.95,25.95,24.52,overcast clouds,76,100,1.53,CD,1678046178
317,Zhuhai,22.2769,113.5678,19.36,clear sky,72,0,4.12,CN,1678046178
318,Buchanan,5.8808,-10.0467,26.48,light rain,85,99,3.01,LR,1678046178
319,Shimoda,34.6667,138.95,7.84,overcast clouds,85,92,4.99,JP,1678046178
320,Strezhevoy,60.7333,77.5889,-7.38,light snow,96,100,2.75,RU,1678046179
321,Marienburg,54.0359,19.0266,0.02,clear sky,65,1,3.01,PL,1678046179
322,Banda Aceh,5.5577,95.3222,24.71,clear sky,79,0,4.65,ID,1678046179
323,Nelson Bay,-32.7167,152.15,22.27,broken clouds,89,62,3.13,AU,1678046179
324,Yenagoa,4.9247,6.2642,25.75,overcast clouds,90,100,2.0,NG,1678046179
325,Castro Daire,40.8984,-7.9338,6.47,light rain,98,100,1.09,PT,1678046179
326,Storslett,69.7678,21.0247,-9.0,light snow,67,62,7.2,NO,1678046179
327,Anadyr,64.75,177.4833,-25.56,mist,75,75,5.0,RU,1678046180
328,Hirara,24.8,125.2833,18.16,clear sky,53,0,6.63,JP,1678046180
329,Matay,28.419,30.7792,20.5,clear sky,50,5,7.58,EG,1678046180
330,Bawku,11.0616,-0.2417,34.0,scattered clouds,11,28,1.08,GH,1678046180
331,Dunedin,-45.8742,170.5036,11.08,few clouds,71,12,1.57,NZ,1678046180
332,Nabire,-3.3667,135.4833,24.04,overcast clouds,91,100,1.04,ID,1678046180
333,Margate,51.3813,1.3862,3.83,overcast clouds,67,100,0.89,GB,1678046180
334,Bonavista,48.6499,-53.1147,-4.31,overcast clouds,83,88,4.52,CA,1678046181
335,Manzhouli,49.6,117.4333,-8.02,overcast clouds,90,93,3.76,CN,1678046181
336,Yar-Sale,66.8333,70.8333,-29.15,overcast clouds,100,89,2.79,RU,1678046181
